Join_Count;codigo_def;UTM_x;UTM_y
yes;AL445;490444.610408;4695267.051123
yes;AL446;492034.991087;4692296.374095
no;AL447;504658.998862;4696036.857097
no;AL448;492060.127122;4694294.704792
yes;AL449;491831.000000;4694531.999877
no;AL450;485999.060408;4690752.726122
yes;AL451;491639.360408;4694475.051122
no;AL452;486467.510408;4687987.176121
yes;AL453;492407.960408;4682323.101121
no;AL454;492043.060408;4693954.851122
no;AL455;509618.610407;4694388.551122
no;AL456;494225.710408;4696417.851123
no;AL457;487506.485408;4693030.426122
yes;AL458;489957.110408;4696984.801123
no;AL459;487412.635408;4688946.151122
no;AL460;485975.860408;4689584.176122
yes;AL461;491953.360408;4694824.551122
no;AL462;486488.610408;4690356.426122
no;AL463;491396.410408;4683238.151121
yes;AL464;490578.960408;4680886.501121
no;AL465;491364.410408;4683218.651121
no;AL466;493427.260408;4695812.001123
yes;AL467;490920.900000;4695123.300000
no;AL468;489445.510408;4682788.426121
no;AL469;493531.310408;4695994.201123
no;AL470;487410.235408;4693052.676122
no;AL471;486410.760408;4689128.476122
no;AL472;485998.210408;4689643.426122
no;AL473;488913.985408;4683325.001121
no;AL474;493892.060408;4696796.201123
no;AL475;488864.985408;4683372.251121
yes;AL476;490983.860408;4695156.551123
no;AL477;494297.210408;4696976.851123
no;AL478;492659.860408;4695117.301123
no;AL479;487380.885408;4688705.051122
no;AL480;486973.510408;4692737.301122
no;AL481;487000.210408;4692769.351122
no;AL482;486950.510408;4692761.201122
no;AL483;487074.160408;4692851.851122
no;AL484;486882.860408;4692762.801122
no;AL485;486425.010408;4693826.451122
yes;AL486;488052.710408;4698427.651123
no;AL487;496908.259484;4695746.686382
no;AL488;486772.860408;4692953.301122
no;AL489;488663.610408;4684188.776121
no;AL490;488549.710408;4684203.976121
no;AL491;486881.324572;4694153.459393
no;AL492;499928.572118;4697037.013339
no;AL493;488668.035408;4684086.501121
no;AL494;486702.860408;4692889.801122
no;AL495;487964.510408;4698439.101123
no;AL496;486094.360408;4689726.826122
no;AL497;496307.785407;4697115.351123
no;AL498;493362.060408;4696438.701123
yes;AL499;486806.850409;4694466.623320
no;AL500;486786.502625;4694436.932770
yes;AL501;486031.410408;4695256.201123
yes;AL502;489043.135408;4684022.951121
no;AL503;487055.260408;4684626.476121
no;AL504;487902.260408;4698977.051123
yes;AL505;488366.260408;4685280.501121
no;AL506;508428.860407;4698528.801123
yes;AL507;490750.735408;4688721.076122
no;AL508;485978.910408;4694452.701122
no;AL509;485785.860408;4694539.801122
no;AL510;497758.000000;4696578.999877
no;AL511;487232.810408;4699029.901123
no;AL512;489958.760408;4698536.501123
no;AL513;484959.051995;4693426.853351
no;AL514;490063.610408;4698561.051123
no;AL515;503301.592749;4696305.866889
no;AL516;485235.510408;4694628.501122
no;AL517;484763.614855;4693465.998337
no;AL518;508433.860407;4692733.201122
no;AL519;485007.160408;4694706.151122
no;AL520;486938.810408;4698844.151123
no;AL521;486915.810408;4698811.651123
no;AL522;511793.460407;4686322.601121
no;AL523;486877.060408;4698742.651123
no;AL524;488472.510408;4700642.151123
no;AL525;486824.310408;4698785.901123
no;AL526;495402.905972;4699874.770629
no;AL527;512289.860407;4685859.051121
no;AL528;483792.060408;4694301.101122
no;AL529;491780.360408;4702567.301124
no;AL530;482377.110408;4697316.101123
no;AL531;482413.110408;4697204.601123
no;AL532;483265.160408;4694996.351123
no;AL533;508905.360407;4697937.051123
no;AL534;482692.360408;4695047.401123
no;AL535;482473.360408;4695347.051123
no;AL536;483097.360408;4696811.351123
no;AL537;484861.060408;4698892.001123
no;AL538;483292.360408;4697003.351123
no;AL539;485676.310408;4698658.301123
no;AL540;483538.810408;4696610.001123
no;AL541;485568.360408;4698499.551123
no;AL542;496041.385408;4702905.151124
